sample	season	plant	stratum	catabund	richness	sw_index	nleaves	herbivory	plant_height_cm	structural_pd	among_structural_pd	within_structural_pd	comp_PC1	comp_PC2	within_comp_PC1	within_comp_PC2	among_comp_PC1	among_comp_PC2
3h1	1	3	1	1	1	1	22	0.107968392	119	93.59694476	102.4042295	-8.807284743	-3.231228079	1.502030166	0.63929561	-0.092000534	-3.870523689	1.594030699
3h2	1	3	2	1	1	1	32	0.094280249	119	114.5680732	102.4042295	12.1638437	-4.269789769	2.407384714	-0.39926608	0.813354014	-3.870523689	1.594030699
3h3	1	3	3	0	0	1	19	0.142198156	119	99.04767054	102.4042295	-3.356558962	-4.110553219	0.872677218	-0.24002953	-0.721353481	-3.870523689	1.594030699
5h1	1	5	1	0	0	1	14	0.076145733	146	104.231761	102.0803942	2.151366827	-3.816152676	-2.34430485	0.070303533	-1.594875725	-3.886456208	-0.749429126
5h2	1	5	2	0	0	1	26	0.108014875	146	100.4135415	102.0803942	-1.666852662	-3.876949594	1.048435021	0.009506614	1.797864146	-3.886456208	-0.749429126
5h3	1	5	3	1	1	1	135	0.077383835	146	101.59588	102.0803942	-0.484514166	-3.966266356	-0.952417547	-0.079810147	-0.202988422	-3.886456208	-0.749429126
9h1	1	9	1	0	0	1	80	0.055726323	124	123.8175719	116.8863678	6.931204059	-2.837065416	0.194582828	1.332195127	0.275232567	-4.169260542	-0.080649739
9h2	1	9	2	0	0	1	31	0.010577051	124	115.691955	116.8863678	-1.194412787	-5.042903451	1.032546959	-0.873642908	1.113196698	-4.169260542	-0.080649739
9h3	1	9	3	2	1	1	35	0.062676905	124	111.1495765	116.8863678	-5.736791272	-4.62781276	-1.469079004	-0.458552218	-1.388429265	-4.169260542	-0.080649739
10h1	1	10	1	2	2	2	56	0.099808884	174	91.88479302	94.64868763	-2.763894607	-2.00403018	-0.327920441	1.557420822	-1.409934788	-3.561451002	1.082014346
