sample	eois_sp1	eois_sp2	quadrus_sp	heraclides_sp	geometridae_sp1	geometridae_sp2	geometridae_sp3	geometridae_sp4	geometridae_sp5	geometridae_sp6	geometridae_sp7	geometridae_sp8	gonodonta_sp1	arctiinae_sp1	arctiinae_sp2	caterpillar_sp1	caterpillar_sp2	memphis_sp
3h1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5h3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9h3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10h1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10h3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14h1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14h2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14h3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18h3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29h3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30h1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33h3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39h1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50h1	6	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
50h2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50h3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51h3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52h1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52h3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54h2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54h3	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
56h1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56h2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56h3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60h1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60h2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60h3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63h1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63h3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68h1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68h2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68h3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70h1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70h3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71h3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
72h2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72h3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73h1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73h2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73h3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75h1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75h2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75h3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77h1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77h2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77h3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80h2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80h3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86h1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86h2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86h3	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87h1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87h2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
87h3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
