sample	plant	569.2318/21.5	322.1459/19.7	205.0507/14.5	300.1648/20.1	205.0507/16.3	573.2294/18.7	573.2248/20.8	569.2305/21.1	573.2294/19.3	631.1717/10.3	631.172/9.8	296.1313/17.4	597.2663/21.8	272.1302/21.1	565.2389/20.8	569.2291/20.6
3h1	3	5055403.607	12582867.66	2696813.048	7246468.599	1610707.594	19798391.03	492098.2826	2470686.446	14128839.31	6483265.569	341740.5968	100788.9737	14741572.81	114565.2602	0	0
3h2	3	3140452.226	17126580.23	3257901.818	6043628.62	1980094.635	15812971.62	933474.5834	1590500.825	12106405.05	2856012.726	987931.3863	0	10028178.99	0	0	0
3h3	3	4420418.276	34148131.24	10257327.36	8280945.963	8240181.589	14627931.84	1075036.385	1897907.977	11231050.65	1807386.239	624391.483	95131.6645	9220225.092	0	0	0
5h1	5	5729128.413	31838855.3	5686639.154	11816451.47	2906794.8	13682595.19	801334.8368	304399.3705	10900230.6	1780943.647	0	208876.761	11498516.1	0	116758.9796	0
5h2	5	4425665.056	15319865.17	4380947.949	8445798.711	3287734.523	11773901.89	886620.6772	1916192.563	9390046.626	1439248.319	472331.7676	126203.8621	9590714.334	0	0	0
5h3	5	5213105.056	29419362.69	8449877.988	11817967.92	2673418.614	11062434.11	0	2484731.237	8695973.506	2292670.572	133066.2954	160676.5209	12880939.02	170902.0523	134313.6826	0
9h1	9	4167298.225	42593492.22	5385738.239	12427734.47	786692.2645	4833996.268	0	2031125.634	4405554.376	4405297.173	1640685.264	182680.485	11266988.71	194033.1995	327861.7663	437924.32
9h2	9	2788960.38	20974772.81	2725496.443	6939203.048	1738577.146	5569957.573	0	1770728.481	4673989.351	2220876.811	653415.8544	0	6540402.792	0	91899.48087	0
9h3	9	2718863.167	27697295.53	2642961.765	6539510.315	1360132.011	4482764.762	0	1232466.817	4000757.188	1645551.215	0	0	5545943.17	0	107193.1754	0
10h1	10	5300558.143	19177272.89	2927689.158	4696699.18	1644471.61	13810166.88	252478.2163	1937083.757	11514165.16	3370457.949	127346.9093	78203.41933	8395075.562	154939.2956	87209.41658	346704.9435
10h2	10	4235325.46	12330214.21	1490041.741	2536990.216	806829.5379	8569611.882	0	344024.9038	7627602.332	2009253.094	270648.1177	0	4341228.965	0	0	0
10h3	10	6088011.544	14269064.89	4840504.034	4990558.184	365727.331	8835516.649	186835.9494	832673.1508	7076466.796	4676733.06	980075.5176	0	7721438.55	120479.1585	147455.1583	0
14h1	14	4343639.61	23903892.49	3673278.959	5654897.325	1556495.228	12269912.89	182832.7925	226022.0688	9196061.474	1158818.676	3422431.261	0	8297928.172	0	0	0
14h2	14	3849832.289	17526955.67	2617192.77	4861430.295	1579870.638	11226884.34	0	2191788.679	5187564.828	1129446.732	3303771.381	0	6704134.963	0	0	0
14h3	14	3769613.571	18237123.36	3608381.534	5007689.898	2546026.015	9531171.342	0	2197997.341	7421437.386	0	1842592.917	0	5575069.013	0	107427.9285	0
18h1	18	7423544.221	28803627.96	11454306.79	10302641.86	8358845.16	23495124.66	2016990.523	3157427.749	14717131.54	0	1958314.954	159987.6633	12528945.85	177462.0152	0	0
18h2	18	6576702.667	21948979.64	7026590.031	7658667.832	6196961.199	21065052.17	1797300.001	2720268.72	15591666.64	0	1584855.078	87733.72959	10566609.69	117644.5476	0	0
18h3	18	5755840.191	23647452.96	7932487.392	7908100.308	4114565.963	18472620.57	1439324.761	2539426.022	14129272.69	0	1493823.244	130630.7196	10704952.48	0	0	0
20h1	20	5035182.985	22791934.28	3985552.715	8637027.625	1987922.104	9649163.872	746680.5161	292640.7753	8112894.756	0	1923138.996	84639.18733	9463525.563	0	159361.111	0
20h2	20	4855593.692	22734398.88	3528348.033	8391468.247	1787390.72	10133845.6	163868.2509	284879.5039	8135883.882	0	2380709.185	63583.32	9325785.034	0	137447.5077	0
20h3	20	3416372.229	38221909.08	4974964.071	8202197.268	3801931.726	7687749.973	0	1809707.296	6213235.036	0	2115699.195	0	7649320.117	0	93974.65529	0
25h1	25	5652039.281	21110848.57	2201669.79	8588548.423	1089732.725	9271130.016	0	3527243.226	8734799.952	0	0	79340.32467	8107508.138	0	253448.2327	507818.8892
25h2	25	3405262.819	22599103.18	3159447.566	8473328.159	554442.4305	8622543.986	0	3190183.963	6527864.488	0	0	0	3574858.383	225515.6169	322746.7706	542571.4645
25h3	25	8027831.026	38030242.28	6874044.676	10356026.78	3465980.882	10783116.19	0	4451149.713	7767491.653	0	0	142342.1	11372232.57	315117.6699	429570.3437	730286.7399
29h1	29	4770645.067	35182980.33	6748476.536	8732021.014	3063628.745	18156202.81	808352.9483	790216.1397	9248020.038	2628320.738	815175.1251	172642.2733	11739373.85	346203.896	345740.9223	0
29h2	29	3504978.775	26833278.58	4199826.716	7715816.495	1925844.903	16356984.41	1247366.668	757489.6062	11527076.19	3091876.46	904773.8072	130053.9344	11361967.67	335198.0455	299308.9477	0
29h3	29	5890177.58	39762991.28	7433534.15	2350444.573	4004712.944	12096544.71	843189.555	2822122.361	9432102.739	1198040.647	692565.8379	0	6581110.856	181710.3383	236457.5683	0
30h1	30	6483040.848	27469313.54	8378904.612	7418511.896	5923463.123	19197053.23	1365210.929	2652806.225	14221140.23	473928.734	2775297.44	70718.88659	8539180.716	153745.8155	104114.1441	0
30h2	30	5796643.618	27905153.62	7535854.548	5635810.584	4308496.251	16723406	1144301.452	2925976.405	12635370.08	0	2249834.727	0	6911433.794	0	92217.72654	0
30h3	30	6559339.89	34183561.32	11807097.83	6516306.897	5479575.095	14673890.17	1082042.565	3490539.29	13228993.77	0	1916600.107	0	6581059.416	145187.3384	188842.2635	0
33h1	33	8333792.442	28817706.18	7737215.365	11196569.9	4578479.95	19014998.69	1525454.08	576756.3409	12147272.5	3018742.107	5333117.668	185398.64	12761748.62	219630.8705	144402.6276	658943.2394
33h2	33	7988651.094	38116517.54	9511574.031	10410810.06	7504956.428	16621327.09	1230757.145	377074.4792	12509542.59	325801.2145	3144257.085	85611.99497	9747782.891	220702.3997	150564.476	0
33h3	33	5131959.948	52479140.78	11192896.44	2412466.071	10010350.9	11983278.18	823615.41	2726338.082	9248944.752	274580.4014	2471042.38	0	6995141.551	0	0	0
39h1	39	5704308.779	12783042.51	4860320.553	7751477.889	2768901.924	12571733.03	218630.2821	311419.8541	10915190.17	1664880.812	406019.4728	0	7636884.134	374268.449	132563.0408	0
39h2	39	5849555.64	24390661.76	4657866.109	6388098.93	2840264.821	14851552.46	252489.6694	2912318.044	12056407.35	1104952.514	328688.817	0	8682662.741	140469.6445	131785.3727	0
39h3	39	6490213.546	18375661.61	5137407.706	6381666.852	3495461.768	14186018.61	1055174.119	2848818.285	11492770.9	1923902.356	0	0	7928823.939	155405.7764	154939.4085	0
43h1	43	7267145.781	15407595.01	5573058.403	4201165.935	2846751.087	17312483.72	1351816.237	3125969.353	13072808.76	5575832.794	1841271.63	177757.8561	7722775.434	146735.8037	154817.2904	0
